0,1,2,3,4,5,6,7,8
"{'tileId': 43345193, 'score': 172, 'time': '2019-03-25T20:00'}","{'tileId': 43354504, 'score': 125, 'time': '2019-03-25T20:00'}","{'tileId': 43354505, 'score': 152, 'time': '2019-03-25T20:00'}","{'tileId': 43363816, 'score': 95, 'time': '2019-03-25T20:00'}","{'tileId': 43363817, 'score': 85, 'time': '2019-03-25T20:00'}","{'tileId': 43363818, 'score': 109, 'time': '2019-03-25T20:00'}","{'tileId': 43373130, 'score': 56, 'time': '2019-03-25T20:00'}","{'tileId': 43373131, 'score': 64, 'time': '2019-03-25T20:00'}","{'tileId': 43382445, 'score': 45, 'time': '2019-03-25T20:00'}"
"{'tileId': 43345193, 'score': 167, 'time': '2019-03-25T21:00'}","{'tileId': 43354504, 'score': 121, 'time': '2019-03-25T21:00'}","{'tileId': 43354505, 'score': 148, 'time': '2019-03-25T21:00'}","{'tileId': 43363816, 'score': 88, 'time': '2019-03-25T21:00'}","{'tileId': 43363817, 'score': 81, 'time': '2019-03-25T21:00'}","{'tileId': 43363818, 'score': 104, 'time': '2019-03-25T21:00'}","{'tileId': 43373130, 'score': 52, 'time': '2019-03-25T21:00'}","{'tileId': 43373131, 'score': 60, 'time': '2019-03-25T21:00'}","{'tileId': 43382445, 'score': 41, 'time': '2019-03-25T21:00'}"
"{'tileId': 43345193, 'score': 152, 'time': '2019-03-25T22:00'}","{'tileId': 43354504, 'score': 109, 'time': '2019-03-25T22:00'}","{'tileId': 43354505, 'score': 136, 'time': '2019-03-25T22:00'}","{'tileId': 43363816, 'score': 77, 'time': '2019-03-25T22:00'}","{'tileId': 43363817, 'score': 74, 'time': '2019-03-25T22:00'}","{'tileId': 43363818, 'score': 95, 'time': '2019-03-25T22:00'}","{'tileId': 43373130, 'score': 45, 'time': '2019-03-25T22:00'}","{'tileId': 43373131, 'score': 55, 'time': '2019-03-25T22:00'}","{'tileId': 43382445, 'score': 36, 'time': '2019-03-25T22:00'}"
"{'tileId': 43345193, 'score': 101, 'time': '2019-03-26T00:00'}","{'tileId': 43354504, 'score': 68, 'time': '2019-03-26T00:00'}","{'tileId': 43354505, 'score': 95, 'time': '2019-03-26T00:00'}","{'tileId': 43363816, 'score': 48, 'time': '2019-03-26T00:00'}","{'tileId': 43363817, 'score': 48, 'time': '2019-03-26T00:00'}","{'tileId': 43363818, 'score': 66, 'time': '2019-03-26T00:00'}","{'tileId': 43373130, 'score': 27, 'time': '2019-03-26T00:00'}","{'tileId': 43373131, 'score': 36, 'time': '2019-03-26T00:00'}","{'tileId': 43382445, 'score': 23, 'time': '2019-03-26T00:00'}"
"{'tileId': 43345193, 'score': 137, 'time': '2019-03-26T01:00'}","{'tileId': 43354504, 'score': 93, 'time': '2019-03-26T01:00'}","{'tileId': 43354505, 'score': 125, 'time': '2019-03-26T01:00'}","{'tileId': 43363816, 'score': 65, 'time': '2019-03-26T01:00'}","{'tileId': 43363817, 'score': 64, 'time': '2019-03-26T01:00'}","{'tileId': 43363818, 'score': 85, 'time': '2019-03-26T01:00'}","{'tileId': 43373130, 'score': 37, 'time': '2019-03-26T01:00'}","{'tileId': 43373131, 'score': 46, 'time': '2019-03-26T01:00'}","{'tileId': 43382445, 'score': 29, 'time': '2019-03-26T01:00'}"
"{'tileId': 43345193, 'score': 143, 'time': '2019-03-26T02:00'}","{'tileId': 43354504, 'score': 98, 'time': '2019-03-26T02:00'}","{'tileId': 43354505, 'score': 130, 'time': '2019-03-26T02:00'}","{'tileId': 43363816, 'score': 68, 'time': '2019-03-26T02:00'}","{'tileId': 43363817, 'score': 68, 'time': '2019-03-26T02:00'}","{'tileId': 43363818, 'score': 89, 'time': '2019-03-26T02:00'}","{'tileId': 43373130, 'score': 39, 'time': '2019-03-26T02:00'}","{'tileId': 43373131, 'score': 48, 'time': '2019-03-26T02:00'}","{'tileId': 43382445, 'score': 31, 'time': '2019-03-26T02:00'}"
"{'tileId': 43345193, 'score': 144, 'time': '2019-03-26T03:00'}","{'tileId': 43354504, 'score': 98, 'time': '2019-03-26T03:00'}","{'tileId': 43354505, 'score': 131, 'time': '2019-03-26T03:00'}","{'tileId': 43363816, 'score': 68, 'time': '2019-03-26T03:00'}","{'tileId': 43363817, 'score': 69, 'time': '2019-03-26T03:00'}","{'tileId': 43363818, 'score': 90, 'time': '2019-03-26T03:00'}","{'tileId': 43373130, 'score': 39, 'time': '2019-03-26T03:00'}","{'tileId': 43373131, 'score': 49, 'time': '2019-03-26T03:00'}","{'tileId': 43382445, 'score': 32, 'time': '2019-03-26T03:00'}"
"{'tileId': 43345193, 'score': 145, 'time': '2019-03-26T04:00'}","{'tileId': 43354504, 'score': 98, 'time': '2019-03-26T04:00'}","{'tileId': 43354505, 'score': 131, 'time': '2019-03-26T04:00'}","{'tileId': 43363816, 'score': 68, 'time': '2019-03-26T04:00'}","{'tileId': 43363817, 'score': 69, 'time': '2019-03-26T04:00'}","{'tileId': 43363818, 'score': 90, 'time': '2019-03-26T04:00'}","{'tileId': 43373130, 'score': 39, 'time': '2019-03-26T04:00'}","{'tileId': 43373131, 'score': 50, 'time': '2019-03-26T04:00'}","{'tileId': 43382445, 'score': 32, 'time': '2019-03-26T04:00'}"
"{'tileId': 43345193, 'score': 145, 'time': '2019-03-26T05:00'}","{'tileId': 43354504, 'score': 98, 'time': '2019-03-26T05:00'}","{'tileId': 43354505, 'score': 131, 'time': '2019-03-26T05:00'}","{'tileId': 43363816, 'score': 69, 'time': '2019-03-26T05:00'}","{'tileId': 43363817, 'score': 68, 'time': '2019-03-26T05:00'}","{'tileId': 43363818, 'score': 90, 'time': '2019-03-26T05:00'}","{'tileId': 43373130, 'score': 40, 'time': '2019-03-26T05:00'}","{'tileId': 43373131, 'score': 49, 'time': '2019-03-26T05:00'}","{'tileId': 43382445, 'score': 32, 'time': '2019-03-26T05:00'}"
"{'tileId': 43345193, 'score': 147, 'time': '2019-03-26T06:00'}","{'tileId': 43354504, 'score': 102, 'time': '2019-03-26T06:00'}","{'tileId': 43354505, 'score': 134, 'time': '2019-03-26T06:00'}","{'tileId': 43363816, 'score': 79, 'time': '2019-03-26T06:00'}","{'tileId': 43363817, 'score': 73, 'time': '2019-03-26T06:00'}","{'tileId': 43363818, 'score': 93, 'time': '2019-03-26T06:00'}","{'tileId': 43373130, 'score': 45, 'time': '2019-03-26T06:00'}","{'tileId': 43373131, 'score': 54, 'time': '2019-03-26T06:00'}","{'tileId': 43382445, 'score': 38, 'time': '2019-03-26T06:00'}"
"{'tileId': 43345193, 'score': 152, 'time': '2019-03-26T07:00'}","{'tileId': 43354504, 'score': 119, 'time': '2019-03-26T07:00'}","{'tileId': 43354505, 'score': 142, 'time': '2019-03-26T07:00'}","{'tileId': 43363816, 'score': 115, 'time': '2019-03-26T07:00'}","{'tileId': 43363817, 'score': 87, 'time': '2019-03-26T07:00'}","{'tileId': 43363818, 'score': 101, 'time': '2019-03-26T07:00'}","{'tileId': 43373130, 'score': 66, 'time': '2019-03-26T07:00'}","{'tileId': 43373131, 'score': 64, 'time': '2019-03-26T07:00'}","{'tileId': 43382445, 'score': 51, 'time': '2019-03-26T07:00'}"
"{'tileId': 43345193, 'score': 163, 'time': '2019-03-26T08:00'}","{'tileId': 43354504, 'score': 140, 'time': '2019-03-26T08:00'}","{'tileId': 43354505, 'score': 151, 'time': '2019-03-26T08:00'}","{'tileId': 43363816, 'score': 170, 'time': '2019-03-26T08:00'}","{'tileId': 43363817, 'score': 106, 'time': '2019-03-26T08:00'}","{'tileId': 43363818, 'score': 118, 'time': '2019-03-26T08:00'}","{'tileId': 43373130, 'score': 99, 'time': '2019-03-26T08:00'}","{'tileId': 43373131, 'score': 80, 'time': '2019-03-26T08:00'}","{'tileId': 43382445, 'score': 71, 'time': '2019-03-26T08:00'}"
"{'tileId': 43345193, 'score': 169, 'time': '2019-03-26T09:00'}","{'tileId': 43354504, 'score': 151, 'time': '2019-03-26T09:00'}","{'tileId': 43354505, 'score': 160, 'time': '2019-03-26T09:00'}","{'tileId': 43363816, 'score': 199, 'time': '2019-03-26T09:00'}","{'tileId': 43363817, 'score': 116, 'time': '2019-03-26T09:00'}","{'tileId': 43363818, 'score': 130, 'time': '2019-03-26T09:00'}","{'tileId': 43373130, 'score': 116, 'time': '2019-03-26T09:00'}","{'tileId': 43373131, 'score': 90, 'time': '2019-03-26T09:00'}","{'tileId': 43382445, 'score': 80, 'time': '2019-03-26T09:00'}"
